scale,key_name,anchor_p,seed_q0,true_q_for_audit_only,selected_q,failure_mode
1000000000000000000,K_seed_mods,999999999999999613,999999999999999617,999999999999999631,,no_selection
1000000000000000000,K_seed_mods,999999999999999569,999999999999999599,999999999999999601,,no_selection
1000000000000000000,K_seed_mods,999999999999999539,999999999999999541,999999999999999569,,no_selection
1000000000000000000,K_seed_mods,999999999999999487,999999999999999491,999999999999999503,,no_selection
1000000000000000000,K_seed_mods,999999999999999419,999999999999999431,999999999999999443,,no_selection
1000000000000000000,K_seed_mods,999999999999999359,999999999999999367,999999999999999371,,no_selection
1000000000000000000,K_seed_mods,999999999999999331,999999999999999343,999999999999999359,,no_selection
1000000000000000000,K_seed_mods,999999999999999161,999999999999999181,999999999999999283,999999999999999191,selected_too_early
1000000000000000000,K_seed_mods,999999999999999121,999999999999999143,999999999999999157,,no_selection
1000000000000000000,K_seed_mods,999999999999999079,999999999999999109,999999999999999121,,no_selection
1000000000000000000,K_seed_mods,999999999999999073,999999999999999077,999999999999999079,,no_selection
1000000000000000000,K_seed_mods,999999999999999023,999999999999999029,999999999999999073,,no_selection
1000000000000000000,K_seed_mods,999999999999998989,999999999999998993,999999999999999023,,no_selection
1000000000000000000,K_seed_mods,999999999999998939,999999999999998947,999999999999998989,,no_selection
1000000000000000000,K_seed_mods,999999999999998867,999999999999998873,999999999999998927,999999999999998911,selected_too_early
1000000000000000000,K_seed_mods,999999999999998759,999999999999998791,999999999999998867,,no_selection
1000000000000000000,K_seed_mods,999999999999998653,999999999999998677,999999999999998743,,no_selection
1000000000000000000,K_seed_mods,999999999999998581,999999999999998609,999999999999998651,,no_selection
1000000000000000000,K_seed_mods,999999999999998539,999999999999998567,999999999999998581,,no_selection
1000000000000000000,K_seed_mods,999999999999998443,999999999999998447,999999999999998539,,no_selection
1000000000000000000,K_seed_mods,999999999999998321,999999999999998351,999999999999998443,,no_selection
1000000000000000000,K_seed_mods,999999999999998273,999999999999998279,999999999999998321,,no_selection
1000000000000000000,K_seed_mods,999999999999998237,999999999999998267,999999999999998269,,no_selection
1000000000000000000,K_seed_mods,999999999999998171,999999999999998189,999999999999998227,999999999999998261,selected_too_late
1000000000000000000,K_seed_mods,999999999999998143,999999999999998159,999999999999998167,,no_selection
1000000000000000000,K_seed_mods,999999999999998027,999999999999998029,999999999999998143,,no_selection
1000000000000000000,K_seed_mods,999999999999997961,999999999999997963,999999999999997993,999999999999997973,selected_too_early
1000000000000000000,K_seed_mods,999999999999997901,999999999999997939,999999999999997943,,no_selection
1000000000000000000,K_seed_mods,999999999999997883,999999999999997897,999999999999997901,,no_selection
1000000000000000000,K_seed_mods,999999999999997817,999999999999997819,999999999999997831,,no_selection
1000000000000000000,K_seed_mods,999999999999997751,999999999999997781,999999999999997817,,no_selection
1000000000000000000,K_seed_mods,999999999999997651,999999999999997663,999999999999997751,,no_selection
1000000000000000000,K_seed_mods,999999999999997589,999999999999997603,999999999999997651,999999999999997679,selected_too_late
1000000000000000000,K_seed_mods,999999999999997499,999999999999997523,999999999999997589,999999999999997579,selected_too_early
1000000000000000000,K_seed_mods,999999999999997457,999999999999997463,999999999999997471,,no_selection
1000000000000000000,K_seed_mods,999999999999997313,999999999999997343,999999999999997427,,no_selection
1000000000000000000,K_seed_mods,999999999999997207,999999999999997219,999999999999997313,999999999999997253,selected_too_early
1000000000000000000,K_seed_mods,999999999999997133,999999999999997169,999999999999997189,,no_selection
1000000000000000000,K_seed_mods,999999999999997121,999999999999997123,999999999999997133,999999999999997153,selected_too_late
1000000000000000000,K_seed_mods,999999999999997057,999999999999997069,999999999999997079,,no_selection
1000000000000000000,K_seed_mods,999999999999997033,999999999999997049,999999999999997057,,no_selection
1000000000000000000,K_seed_mods,999999999999996967,999999999999996973,999999999999997013,999999999999996977,selected_too_early
1000000000000000000,K_seed_mods,999999999999996917,999999999999996929,999999999999996967,999999999999996949,selected_too_early
1000000000000000000,K_seed_mods,999999999999996881,999999999999996887,999999999999996917,,no_selection
1000000000000000000,K_seed_mods,999999999999996847,999999999999996851,999999999999996871,999999999999996859,selected_too_early
1000000000000000000,K_seed_mods,999999999999996839,999999999999996841,999999999999996847,,no_selection
1000000000000000000,K_seed_mods,999999999999996701,999999999999996739,999999999999996757,999999999999996769,selected_too_late
1000000000000000000,K_seed_mods,999999999999996659,999999999999996661,999999999999996673,,no_selection
1000000000000000000,K_seed_mods,999999999999996553,999999999999996559,999999999999996647,,no_selection
1000000000000000000,K_seed_mods,999999999999996467,999999999999996473,999999999999996553,,no_selection
1000000000000000000,K_seed_mods,999999999999996409,999999999999996431,999999999999996461,,no_selection
1000000000000000000,K_seed_mods,999999999999996361,999999999999996371,999999999999996383,999999999999996383,correct
1000000000000000000,K_seed_mods,999999999999996337,999999999999996349,999999999999996353,,no_selection
1000000000000000000,K_seed_mods,999999999999996263,999999999999996269,999999999999996329,999999999999996329,correct
1000000000000000000,K_seed_mods,999999999999996251,999999999999996257,999999999999996263,,no_selection
1000000000000000000,K_seed_mods,999999999999996209,999999999999996223,999999999999996251,,no_selection
1000000000000000000,K_seed_mods,999999999999996119,999999999999996133,999999999999996209,999999999999996181,selected_too_early
1000000000000000000,K_seed_mods,999999999999995947,999999999999995957,999999999999995963,999999999999995959,selected_too_early
1000000000000000000,K_seed_mods,999999999999995809,999999999999995831,999999999999995833,,no_selection
1000000000000000000,K_seed_mods,999999999999995737,999999999999995749,999999999999995783,999999999999995843,selected_too_late
1000000000000000000,K_seed_mods,999999999999995717,999999999999995719,999999999999995737,,no_selection
1000000000000000000,K_seed_mods,999999999999995671,999999999999995677,999999999999995681,999999999999995707,selected_too_late
1000000000000000000,K_seed_mods,999999999999995573,999999999999995609,999999999999995671,,no_selection
1000000000000000000,K_seed_mods,999999999999995563,999999999999995569,999999999999995573,999999999999995581,selected_too_late
1000000000000000000,K_seed_mods,999999999999995539,999999999999995543,999999999999995549,999999999999995597,selected_too_late
1000000000000000000,K_seed_mods,999999999999995419,999999999999995461,999999999999995513,,no_selection
1000000000000000000,K_seed_mods,999999999999995341,999999999999995387,999999999999995419,,no_selection
1000000000000000000,K_seed_mods,999999999999995261,999999999999995273,999999999999995333,999999999999995297,selected_too_early
1000000000000000000,K_seed_mods,999999999999995231,999999999999995237,999999999999995261,,no_selection
1000000000000000000,K_seed_mods,999999999999995149,999999999999995177,999999999999995231,999999999999995203,selected_too_early
1000000000000000000,K_seed_mods,999999999999995131,999999999999995143,999999999999995149,,no_selection
1000000000000000000,K_seed_mods,999999999999995083,999999999999995087,999999999999995131,,no_selection
1000000000000000000,K_seed_mods,999999999999994849,999999999999994853,999999999999994897,999999999999994877,selected_too_early
1000000000000000000,K_seed_mods,999999999999994837,999999999999994841,999999999999994843,,no_selection
1000000000000000000,K_seed_mods,999999999999994727,999999999999994739,999999999999994823,999999999999994769,selected_too_early
1000000000000000000,K_seed_mods,999999999999994657,999999999999994661,999999999999994727,,no_selection
1000000000000000000,K_seed_mods,999999999999994573,999999999999994577,999999999999994619,,no_selection
1000000000000000000,K_seed_mods,999999999999994481,999999999999994507,999999999999994561,999999999999994517,selected_too_early
1000000000000000000,K_seed_mods,999999999999994361,999999999999994373,999999999999994481,,no_selection
1000000000000000000,K_seed_mods,999999999999994339,999999999999994349,999999999999994351,,no_selection
1000000000000000000,K_seed_mods,999999999999994297,999999999999994313,999999999999994339,999999999999994319,selected_too_early
1000000000000000000,K_seed_mods,999999999999994211,999999999999994219,999999999999994237,,no_selection
1000000000000000000,K_seed_mods,999999999999994193,999999999999994199,999999999999994211,,no_selection
1000000000000000000,K_seed_mods,999999999999994117,999999999999994163,999999999999994193,,no_selection
1000000000000000000,K_seed_mods,999999999999994073,999999999999994093,999999999999994111,999999999999994103,selected_too_early
1000000000000000000,K_seed_mods,999999999999993989,999999999999993997,999999999999994073,999999999999994003,selected_too_early
1000000000000000000,K_seed_mods,999999999999993683,999999999999993719,999999999999993779,,no_selection
